model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,intercept_only,BayesGPT_Family,$v$,0.398372229849381,-4.255319148935555,0.17212057788191953
DDM,intercept_only,BayesGPT_Family,$a$,-0.973631721758491,29.26829268292644,0.23362421476749928
DDM,intercept_only,BayesGPT_Family,$z$,1.8798731163056421,8.208955223880427,-0.09174303641979137
DDM,intercept_only,BayesGPT_Family,$\tau$,-1.6413958982343606,-43.44262295081976,-0.09565445958462619
DDM,intercept_only,BayesGPT_Family,$s_v$,-0.3872078856465048,-24.3243243243246,-0.6761941841263139
DDM,intercept_only,BayesGPT_Family,$s_\tau$,-0.8308965766750294,27.058823529411878,0.20733974252339354
DDM,intercept_only,BayesGPT_ModelClass,$v$,9.989332043042383,177.77777777777945,-2.5922493633554704
DDM,intercept_only,BayesGPT_ModelClass,$a$,9.056584785678648,51.57232704402514,-1.4058735604297294
DDM,intercept_only,BayesGPT_ModelClass,$z$,10.868640759545015,39.99999999999999,-1.2499789413749853
DDM,intercept_only,BayesGPT_ModelClass,$\tau$,8.384027436983606,315.9420289855091,-1.2982961304231477
DDM,intercept_only,BayesGPT_ModelClass,$s_v$,3.2421335022789526,-22.619047619047763,-14.657445224887029
DDM,intercept_only,BayesGPT_ModelClass,$s_\tau$,7.622478346274189,152.777777777777,-8.188469578414727
DDM,fixed,BayesGPT_Family,$v$,-26.336857309642834,23.333333333333442,5.12083033165775
DDM,fixed,BayesGPT_Family,$a$,-8.560676623680733,-8.064516129032203,0.7448972490650743
DDM,fixed,BayesGPT_Family,$z$,-8.10174299719941,-9.558823529411379,0.5128631447268104
DDM,fixed,BayesGPT_Family,$\tau$,-5.070075191583263,7.894736842104996,0.06123779568971387
DDM,fixed,BayesGPT_ModelClass,$v$,13.966862774880234,133.78378378378358,-2.509664697442547
DDM,fixed,BayesGPT_ModelClass,$a$,11.036778947019867,-12.280701754386213,-0.7584050289439532
DDM,fixed,BayesGPT_ModelClass,$z$,12.182183367137812,100.81300813008116,-1.5320043915730048
DDM,fixed,BayesGPT_ModelClass,$\tau$,11.854740426423927,337.804878048781,-2.2465507154229414
DDM,regressed,BayesGPT_Family,$v$,8.664258367460546,148.12030075188085,-2.614304790026642
DDM,regressed,BayesGPT_Family,$a$,13.657130182192617,-37.64705882352905,-1.2731360307308563
DDM,regressed,BayesGPT_Family,$z$,13.803986051190561,-48.87640449438199,-1.219958034046351
DDM,regressed,BayesGPT_Family,$\tau$,17.753750212057266,-67.31707317073173,-0.5083363762215788
DDM,regressed,BayesGPT_Family,$s_v$,4.711574734736662,-55.21235521235528,-9.459365794849228
DDM,regressed,BayesGPT_Family,$s_\tau$,18.009750729291408,-45.19230769230733,-2.0613080979992873
DDM,regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,13.341853109897851,-3.846153846153826,-3.397308262738462
DDM,regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,13.244897554607121,19.69696969696883,-0.8520218851968254
DDM,regressed,BayesGPT_Family,$z$ -- $u_1$ | $c_{1}$,17.815360520668595,-67.3366834170857,-1.8717679928981252
